"grid","easting","northing","era5_raw","era5_smooth","residual_pct"
"NG79",175000,895000,925247.022222222,911664.936108393,1.48981117687894
"NG80",185000,805000,819882.648888889,816226.454643899,0.447938709188919
"NG81",185000,815000,822440.977777778,818812.37165144,0.443154775375354
"NG82",185000,825000,822440.977777778,824230.351326455,-0.21709629423352
"NG83",185000,835000,822440.977777778,831987.974326763,-1.14749213252878
"NG84",185000,845000,847675.982222222,841627.153846598,0.71870641862947
"NG85",185000,855000,847675.982222222,852584.706804759,-0.575746262319577
"NG86",185000,865000,847675.982222222,864352.434160444,-1.92935789605543
"NG87",185000,875000,875706.257777778,876549.265410793,-0.0961734458381935
"NG88",185000,885000,875706.257777778,888911.45067091,-1.4855464943292
"NG89",185000,895000,925247.022222222,901172.12760259,2.67150901389718
"NG90",195000,805000,819882.648888889,811921.967681585,0.980473681483852
"NG91",195000,815000,822440.977777778,814347.955817173,0.99380392653948
"NG92",195000,825000,822440.977777778,818983.301050227,0.422191358861237
"NG93",195000,835000,822440.977777778,825588.486847087,-0.381244302634325
"NG94",195000,845000,847675.982222222,833890.752918492,1.65312173752787
"NG95",195000,855000,847675.982222222,843599.98525684,0.483167026625873
"NG96",195000,865000,875706.257777778,854430.369489742,2.49006695545496
"NG97",195000,875000,875706.257777778,866131.031056282,1.1055171074772
"NG98",195000,885000,875706.257777778,878489.204020365,-0.316787756736381
"NG99",195000,895000,900885.013333333,891244.092898992,1.08173737264077
"NH00",205000,805000,812602.595555556,810991.552284453,0.198651054571991
"NH01",205000,815000,819092.32,813220.772729291,0.722011471866711
"NH02",205000,825000,819092.32,817019.996531769,0.253644155226063
"NH03",205000,835000,819092.32,822315.105588225,-0.391916136080163
"NH04",205000,845000,839644.142222222,829058.372315209,1.27684253129872
"NH05",205000,855000,839644.142222222,837223.388089244,0.28914076785449
"NH06",205000,865000,862246.044444444,846772.924841655,1.82730448138531
"NH07",205000,875000,862246.044444444,857605.018687065,0.541161217139892
"NH08",205000,885000,862246.044444444,869595.329475153,-0.845138512317499
"NH09",205000,895000,891840.142222222,882501.20915331,1.05823459186786
"NH10",215000,805000,810139.715555556,812389.755386599,-0.276965559465061
"NH11",215000,815000,819278.364444444,814502.297761887,0.586378540082883
"NH12",215000,825000,819278.364444444,817598.933793996,0.205410083236705
"NH13",215000,835000,819278.364444444,821718.869173143,-0.296999961940116
"NH14",215000,845000,830509.386666667,827007.111366814,0.423487930359469
"NH15",215000,855000,830509.386666667,833654.421978631,-0.377258877185517
"NH16",215000,865000,848752.977777778,841849.767246943,0.82000504120948
"NH17",215000,875000,848752.977777778,851659.770171605,-0.341309111412163
"NH18",215000,885000,848752.977777778,863090.251023419,-1.66115573992876
"NH19",215000,895000,881812.533333333,875832.947148949,0.682731359199132
"NH20",225000,805000,810139.715555556,815196.892622183,-0.62036265255629
"NH21",225000,815000,819278.364444444,817373.203903932,0.23308331266709
"NH22",225000,825000,819278.364444444,820114.172191374,-0.101913584141073
"NH23",225000,835000,819278.364444444,823479.476247435,-0.510165939063268
"NH24",225000,845000,830509.386666667,827742.970826706,0.334211939872758
"NH25",225000,855000,830509.386666667,833206.721139578,-0.323729322445023
"NH26",225000,865000,848752.977777778,840234.586268155,1.01381110095181
"NH27",225000,875000,848752.977777778,849101.658654749,-0.0410646797608777
"NH28",225000,885000,848752.977777778,859865.830421632,-1.29239379571638
"NH29",225000,895000,881812.533333333,872139.896919529,1.10906936467064
"NH30",235000,805000,813913.724444444,818980.286845017,-0.61864277833733
"NH31",235000,815000,821676.426666667,821455.557601983,0.0268875245458453
"NH32",235000,825000,821676.426666667,824313.047573402,-0.319856747930541
"NH33",235000,835000,834328.462222222,827556.604667761,0.818295391066335
"NH34",235000,845000,834328.462222222,831427.779377802,0.348879712269259
"NH35",235000,855000,834328.462222222,836289.780977318,-0.234526213246744
"NH36",235000,865000,853354.666666667,842581.331071852,1.27861076403265
"NH37",235000,875000,853354.666666667,850652.95188152,0.317604820999102
"NH38",235000,885000,853354.666666667,860583.366211019,-0.839976674912847
"NH39",235000,895000,884062.524444444,872068.376417699,1.37536784397747
"NH40",245000,805000,820163.52,823838.038315697,-0.44602435731288
"NH41",245000,815000,824626.648888889,826824.006667676,-0.265758826675031
"NH42",245000,825000,824626.648888889,830265.589495643,-0.679173107749728
"NH43",245000,835000,837973.546666667,834021.204397441,0.473889902125637
"NH44",245000,845000,837973.546666667,838225.877821629,-0.0301030022621596
"NH45",245000,855000,837973.546666667,843190.348982781,-0.618698058203311
"NH46",245000,865000,857980.195555556,849277.331051961,1.02473764286334
"NH47",245000,875000,857980.195555556,856791.50468968,0.138737471061382
"NH48",245000,885000,857980.195555556,865884.313775836,-0.912837672946559
